20161202 124608573,1.06713,1.06697,0
20161202 124609927,1.06715,1.06699,0
20161202 124613485,1.0672,1.06704,0
20161202 124615228,1.06717,1.06702,0
20161202 124616623,1.06716,1.06699,0
20161202 124703142,1.06717,1.06702,0
20161202 124716917,1.0672,1.06704,0
20161202 124718864,1.06724,1.06707,0
20161202 124738416,1.06722,1.06706,0
20161202 124741538,1.06719,1.06702,0
20161202 124741800,1.06714,1.06698,0
20161202 124742002,1.06718,1.067,0
20161202 124750918,1.0672,1.06703,0
20161202 124751261,1.06717,1.067,0
20161202 124758519,1.0672,1.06702,0
20161202 124758661,1.06721,1.06705,0
20161202 124759604,1.06718,1.06703,0
20161202 124800508,1.06722,1.06704,0
20161202 124800640,1.06719,1.06702,0
20161202 124801568,1.06716,1.067,0
20161202 124801733,1.06718,1.06702,0
20161202 124801866,1.06721,1.06704,0
20161202 124809821,1.06716,1.06699,0
20161202 124815488,1.06713,1.06695,0
20161202 124820528,1.06709,1.06693,0
20161202 124820601,1.06711,1.06695,0
20161202 124824691,1.06714,1.06697,0
20161202 124825613,1.06711,1.06694,0
20161202 124830620,1.06714,1.06697,0
20161202 124832041,1.06717,1.067,0
20161202 124835253,1.06712,1.06696,0
20161202 124845287,1.06711,1.06696,0
20161202 124853117,1.06714,1.06699,0
20161202 124855933,1.06712,1.06696,0
20161202 124911076,1.06714,1.06698,0
20161202 124911337,1.06716,1.06701,0
20161202 124911543,1.06719,1.06703,0
20161202 124917424,1.06721,1.06705,0
20161202 124919541,1.06724,1.06708,0
20161202 124919649,1.06726,1.06711,0
20161202 124923612,1.06724,1.06708,0
20161202 124929717,1.06727,1.0671,0
20161202 124932786,1.06724,1.06707,0
20161202 124933411,1.06726,1.06709,0
20161202 124934343,1.06728,1.06712,0
20161202 124939585,1.06735,1.06719,0
20161202 124939819,1.06744,1.06727,0
20161202 124940097,1.06742,1.06725,0
20161202 124940221,1.06739,1.06722,0
20161202 124940434,1.06743,1.06724,0
20161202 124940794,1.0674,1.0672,0
20161202 124940876,1.06745,1.06725,0
20161202 124941825,1.06741,1.06723,0
20161202 124941999,1.06742,1.06726,0
